Year;Day;Name;Parsing;Part 1;Part 2;Total;Part 1 result;Part 2 result;Part 1 status;Part 2 status
2020;1;Report Repair;2.743;0.374;0.829;3.946;987339;259521570;OK;OK
2020;2;Password Philosophy;1.781;0.215;0.196;2.192;660;530;OK;OK
2020;3;Toboggan Trajectory;0.473;0.903;4.039;5.415;230;9533698720;OK;OK
2020;4;Passport Processing;20.436;0.059;0.456;20.951;200;116;OK;OK
2020;5;Binary Boarding;1.240;0.000;0.003;1.243;928;610;OK;OK
2020;6;Custom Customs;1.507;2.291;7.418;11.216;6680;3117;OK;OK
2020;7;Handy Haversacks;2.100;14.910;7.112;24.122;355;5312;OK;OK
2020;8;Handheld Halting;0.644;0.152;1.506;2.302;1384;761;OK;OK
2020;9;Encoding Error;0.309;3.560;12.201;16.070;138879426;23761694;OK;OK
2020;10;Adapter Array;0.020;0.021;0.060;0.101;2738;74049191673856;OK;OK
2020;11;Seating System;4.045;700.034;948.088;1652.167;2093;1862;OK;OK
2020;12;Rain Risk;0.068;1.849;1.704;3.621;845;27016;OK;OK
2020;13;Shuttle Search;0.006;0.036;0.146;0.188;333;690123192779524;OK;OK
2020;14;Docking Data;2.386;0.356;94.788;97.530;8471403462063;2667858637669;OK;OK
2020;15;Rambunctious Recitation;-;0.140;2907.075;2907.215;475;11261;OK;OK
2020;16;Ticket Translation;1.619;1.296;0.003;2.918;27850;491924517533;OK;OK
2020;17;Conway Cubes;-;197.630;1803.469;2001.099;242;2292;OK;OK
2020;18;Operation Order;0.355;4.354;14.403;19.112;8298263963837;145575710203332;OK;OK
2020;19;Monster Messages;1.870;3.496;33.428;38.794;147;263;OK;OK
2020;20;Jurassic Jigsaw;33.111;49.055;75.767;157.933;66020135789767;1537;OK;OK
2020;21;Allergen Assessment;7.686;0.084;0.005;7.775;2428;bjq,jznhvh,klplr,dtvhzt,sbzd,tlgjzx,ctmbr,kqms;OK;OK
2020;22;Crab Combat;-;0.146;1642.250;1642.396;32677;33661;OK;OK
2020;23;Crab Cups;-;0.029;4670.383;4670.412;28946753;519044017360;OK;OK
2020;24;Lobby Layout;1.407;0.000;1316.657;1318.064;300;3466;OK;OK
2020;25;Combo Breaker;-;24.240;-;24.240;1890859;-;OK;-

;;Total;83.806;1005.230;13541.986;14631.022
;;Per puzzle;3.352;40.209;541.679;585.241